iter	MultiClass
0	1.591734727
1	1.384912853
2	1.232330545
3	1.110998708
4	1.01418497
5	0.93802982
6	0.8736188414
7	0.8188922474
8	0.7721578674
9	0.731898598
10	0.6952697024
11	0.6636071342
12	0.6339517628
13	0.6085792853
14	0.5859262223
15	0.5635360209
16	0.5451353572
17	0.5290453358
18	0.5146101494
19	0.5013299039
20	0.4886282657
21	0.4780149289
22	0.4676561211
23	0.4586558288
24	0.4505635627
25	0.4432405172
26	0.4365240155
27	0.4296180537
28	0.4237328234
29	0.4182314753
30	0.4125976591
31	0.4076559811
32	0.402233141
33	0.397703208
34	0.3932318753
35	0.3889443026
36	0.3862473826
37	0.3833457095
38	0.3795895232
39	0.3760204967
40	0.3728899796
41	0.3708780304
42	0.3683102937
43	0.3657996452
44	0.3629164129
45	0.3606142205
46	0.3576241214
47	0.355222069
48	0.3535427635
49	0.3514592167
50	0.3493308114
51	0.347538866
52	0.3456047952
53	0.34376338
54	0.342313862
55	0.3404958553
56	0.3394558009
57	0.3379420198
58	0.3367745759
59	0.3352840713
60	0.3343048293
61	0.3325224379
62	0.3306001026
63	0.3292597505
64	0.3280569874
65	0.3266256787
66	0.3258806341
67	0.3249968709
68	0.3239495455
69	0.3226180964
70	0.3214445085
71	0.3199249023
72	0.3190379687
73	0.3182454827
74	0.3175325056
75	0.3164908413
76	0.3151475887
77	0.3142302373
78	0.3133274706
79	0.3120941696
80	0.3110613947
81	0.310325605
82	0.30906479
83	0.3083524672
84	0.3077102476
85	0.3068730601
86	0.3062296554
87	0.3050196848
88	0.3042519794
89	0.3033984438
90	0.3026462071
91	0.3019440618
92	0.301081311
93	0.3002945324
94	0.2996421309
95	0.2990726421
96	0.2982777325
97	0.2976451169
98	0.2971156393
99	0.2962440083
100	0.2955837653
101	0.2950790979
102	0.2944199974
103	0.2936775888
104	0.2929346715
105	0.2924509466
106	0.291547346
107	0.2911927359
108	0.2907976588
109	0.2901673593
110	0.2895137553
111	0.2890910723
112	0.2886293892
113	0.2881685285
114	0.2873809534
115	0.2866141994
116	0.2861670815
117	0.2851681541
118	0.284508293
119	0.2838778655
120	0.2834622412
121	0.2829093513
122	0.2823830076
123	0.2819177858
124	0.2811802214
125	0.280694105
126	0.2803932489
127	0.2798247969
128	0.2793275945
129	0.2789263377
130	0.2784932389
131	0.2778052506
132	0.2771983005
133	0.2766201689
134	0.2762254363
135	0.2756827855
136	0.2750332969
137	0.2746490055
138	0.2744402266
139	0.2738897517
140	0.2735164206
141	0.2731097129
142	0.272639939
143	0.2719969615
144	0.2715477301
145	0.2709436504
146	0.2704909517
147	0.2700623142
148	0.2696014208
149	0.2692187648
150	0.2688015377
151	0.2682417172
152	0.2679541366
153	0.2675023821
154	0.2671953912
155	0.2665086646
156	0.2661405967
157	0.2656904483
158	0.2654617667
159	0.2651046219
160	0.2648626074
161	0.2644322484
162	0.2640912926
163	0.2637188237
164	0.2633374755
165	0.2628466222
166	0.2625018061
167	0.2619209552
168	0.2613756454
169	0.2611070418
170	0.2608029581
171	0.2604869413
172	0.2601882145
173	0.2599081904
174	0.259532845
175	0.2591851951
176	0.2587898201
177	0.2584903895
178	0.2580433146
179	0.2575248567
180	0.2571510095
181	0.2568637893
182	0.2565281522
183	0.2561503356
184	0.2559015484
185	0.255496259
186	0.2551725771
187	0.254783304
188	0.2544246559
189	0.2541115809
190	0.2538366267
191	0.2533944303
192	0.2529397247
193	0.2525431088
194	0.2521924346
195	0.2517987816
196	0.2512719884
197	0.2509899555
198	0.2503689889
199	0.2502151429
200	0.2497809087
201	0.2493244071
202	0.2490113564
203	0.2487581229
204	0.2485684442
205	0.2482835267
206	0.248000457
207	0.2475507505
208	0.2472994171
209	0.2470560721
210	0.2467361593
211	0.2463227951
212	0.246078757
213	0.2458677401
214	0.2455082451
215	0.2452528635
216	0.2449524636
217	0.2446853867
218	0.2443471036
219	0.2439022924
220	0.2436483843
221	0.2433789752
222	0.2429540632
223	0.2427920893
224	0.242611962
225	0.2423466636
226	0.2421418277
227	0.2419289388
228	0.2415871076
229	0.241265912
230	0.2410011169
231	0.2407545861
232	0.2403790927
233	0.2401660811
234	0.2399220207
235	0.2396101372
236	0.2394173165
237	0.2390330792
238	0.2387915161
239	0.2385953249
240	0.2384218258
241	0.2381830053
242	0.2380001772
243	0.23786884
244	0.237675303
245	0.2372931767
246	0.2369132986
247	0.2366449585
248	0.2361328437
249	0.2359306827
250	0.2357438729
251	0.2354790527
252	0.235217254
253	0.2349851403
254	0.2345745185
255	0.2342679125
256	0.2340728258
257	0.2336763193
258	0.2333733776
259	0.2330706523
260	0.2328956972
261	0.2326235634
262	0.2323883408
263	0.2321394288
264	0.2319111738
265	0.231668525
266	0.23139053
267	0.2310959116
268	0.2308229577
269	0.2304496437
270	0.2302819054
271	0.2301555504
272	0.2298252092
273	0.2294882424
274	0.2293395068
275	0.2290446332
276	0.228833334
277	0.2286548483
278	0.2283959548
279	0.2282409459
280	0.228009004
281	0.2276654782
282	0.2274324681
283	0.2272565923
284	0.2269593814
285	0.2266463881
286	0.2263862298
287	0.2262350836
288	0.2260036264
289	0.2257395966
290	0.2256034199
291	0.2254259453
292	0.2250977106
293	0.2249630095
294	0.2247533891
295	0.2244599156
296	0.2242998384
297	0.2240423741
298	0.2238172101
299	0.2234768974
300	0.2233529019
301	0.2231392183
302	0.2229467717
303	0.2226827664
304	0.2225735921
305	0.2223226566
306	0.2220687461
307	0.22187652
308	0.2217659682
309	0.2214990908
310	0.2212670819
311	0.2211356311
312	0.220972215
313	0.2207895224
314	0.2205540343
315	0.2202154037
316	0.2201201039
317	0.2199971378
318	0.2197600812
319	0.2196448443
320	0.2194002533
321	0.2191752257
322	0.2189415794
323	0.2188046871
324	0.2185051811
325	0.2183297116
326	0.2181857692
327	0.2179997517
328	0.217748993
329	0.2176076817
330	0.2174653655
331	0.2172807185
332	0.2168648541
333	0.2165978018
334	0.2163269545
335	0.2161251195
336	0.2158925576
337	0.2155433924
338	0.2153002677
339	0.2151057985
340	0.2148872042
341	0.2146173765
342	0.2144004229
343	0.2142834451
344	0.2140625757
345	0.2139780855
346	0.2137691141
347	0.2134550523
348	0.2132047207
349	0.2129777465
350	0.2128179324
351	0.2125864072
352	0.2124698102
353	0.2122895899
354	0.2121252757
355	0.2119387056
356	0.2117606006
357	0.2114262342
358	0.2112100355
359	0.2110532644
360	0.2109378789
361	0.2107242402
362	0.2103966315
363	0.2102868921
364	0.210167003
365	0.2099682008
366	0.209810193
367	0.209468381
368	0.2093197592
369	0.2091989119
370	0.2090096536
371	0.2089298965
372	0.2088089464
373	0.2086374384
374	0.2084292541
375	0.2082409359
376	0.2080786325
377	0.2078942489
378	0.2077383427
379	0.207634975
380	0.2074968411
381	0.2073977916
382	0.2070790305
383	0.2069311119
384	0.2068694689
385	0.2066956701
386	0.2065516771
387	0.2064169094
388	0.2062219596
389	0.2061641234
390	0.2059973662
391	0.205933183
392	0.2057868653
393	0.2056481126
394	0.2054935592
395	0.2053283592
396	0.2051735461
397	0.2050275282
398	0.2048157714
399	0.2046118743
400	0.2045100984
401	0.2041716075
402	0.2039399532
403	0.2037715904
404	0.2035945788
405	0.2033515774
406	0.2032104254
407	0.2030705721
408	0.2029579237
409	0.2027350753
410	0.2025716564
411	0.2024280609
412	0.202237831
413	0.2020327574
414	0.2018517438
415	0.2016684275
416	0.2015056333
417	0.2013973744
418	0.2012506817
419	0.2011354539
420	0.20099455
421	0.2009122989
422	0.2007056066
423	0.200619152
424	0.2004667284
425	0.2002500894
426	0.200100883
427	0.1999531342
428	0.1997558815
429	0.1996695287
430	0.1994791942
431	0.1992049459
432	0.1991001756
433	0.1990060185
434	0.198822941
435	0.1986920392
436	0.1985666615
437	0.1984321223
438	0.1982662951
439	0.1981145443
440	0.1978668812
441	0.1977048298
442	0.1976189443
443	0.1975012798
444	0.1973062308
445	0.197179184
446	0.1970535891
447	0.1969157585
448	0.1967672057
449	0.1966306029
450	0.196491964
451	0.1962935049
452	0.1961573048
453	0.196031201
454	0.1957875262
455	0.1955630616
456	0.1953951736
457	0.1951769863
458	0.1949743557
459	0.1949001921
460	0.1946897379
461	0.1945280815
462	0.1943523294
463	0.194203276
464	0.1940733275
465	0.1939630967
466	0.1938322855
467	0.1936736891
468	0.1935765345
469	0.1935233408
470	0.193407432
471	0.1931900053
472	0.1930185894
473	0.1928804574
474	0.1927172941
475	0.1925221361
476	0.1924099244
477	0.1921787452
478	0.1920201716
479	0.191965652
480	0.191827734
481	0.1915079767
482	0.1914390504
483	0.19127773
484	0.1911839914
485	0.1909722723
486	0.1908775631
487	0.1906792579
488	0.1905025766
489	0.1904427394
490	0.1903684535
491	0.1902051132
492	0.1900483696
493	0.1898445359
494	0.1896843015
495	0.1894737071
496	0.1893962029
497	0.1892347796
498	0.1890996811
499	0.1890070492
500	0.1888776782
501	0.1887652612
502	0.18865784
503	0.1885423557
504	0.1884473193
505	0.1883645434
506	0.1881929413
507	0.188061888
508	0.1878737058
509	0.1877199115
510	0.1875871062
511	0.187407209
512	0.1872757763
513	0.1871663319
514	0.1870397569
515	0.1869782259
516	0.1868129188
517	0.1867433682
518	0.1865962907
519	0.1865373477
520	0.1864835151
521	0.1863466802
522	0.1862191072
523	0.1860110314
524	0.185908973
525	0.1858243093
526	0.185721147
527	0.185525336
528	0.1853657164
529	0.185299783
530	0.1851812334
531	0.1850609864
532	0.184962301
533	0.1848520488
534	0.1847800416
535	0.1845266116
536	0.1843497944
537	0.1842058229
538	0.1840640388
539	0.1839033271
540	0.1837139569
541	0.1836298442
542	0.1834862723
543	0.1833910633
544	0.18321385
545	0.1831260868
546	0.1829317174
547	0.1827627482
548	0.1826114384
549	0.1824857912
550	0.1823981375
551	0.1823044022
552	0.1821580131
553	0.1820619493
554	0.1819980887
555	0.1818636472
556	0.1817463233
557	0.181658055
558	0.1816009035
559	0.1814926662
560	0.1813546014
561	0.1812411397
562	0.181133848
563	0.1810363686
564	0.1808875121
565	0.1807353409
566	0.1806304178
567	0.1805622281
568	0.1804514198
569	0.1803799827
570	0.1802256669
571	0.1801066303
572	0.1799529782
573	0.1798321137
574	0.1797442571
575	0.1796084428
576	0.1795385024
577	0.1794137004
578	0.1793332342
579	0.1792398027
580	0.1791394191
581	0.178966587
582	0.1788421722
583	0.1787131481
584	0.17854037
585	0.1783984471
586	0.1782199029
587	0.1780878542
588	0.1780100503
589	0.1779077132
590	0.1778671245
591	0.1777883073
592	0.1776152854
593	0.1774714421
594	0.1773155014
595	0.1771288966
596	0.1769777778
597	0.17688259
598	0.1767241492
599	0.1766131231
600	0.1765113985
601	0.1764093478
602	0.1763020457
603	0.1762037564
604	0.1761270551
605	0.176001032
606	0.1759192468
607	0.1758376191
608	0.1757047165
609	0.1756726739
610	0.1755581052
611	0.1754584447
612	0.1753782632
613	0.1752649008
614	0.1751824044
615	0.1751159802
616	0.1749682804
617	0.1748825785
618	0.1746577038
619	0.1745390772
620	0.1743681407
621	0.1742639877
622	0.1741764459
623	0.1741086175
624	0.1740181862
625	0.1738969302
626	0.1738400369
627	0.1737029157
628	0.1735856667
