iter	Passed	Remaining
0	20	16658
1	39	15631
2	58	15573
3	78	15573
4	97	15528
5	120	15911
6	142	16122
7	164	16271
8	185	16343
9	207	16428
10	232	16668
11	254	16704
12	276	16736
13	298	16773
14	319	16700
15	343	16823
16	369	17003
17	394	17127
18	415	17083
19	437	17058
20	466	17310
21	492	17428
22	514	17397
23	536	17347
24	559	17329
25	581	17299
26	600	17205
27	621	17123
28	642	17071
29	667	17125
30	690	17125
31	713	17130
32	737	17132
33	759	17111
34	780	17070
35	804	17076
36	825	17032
37	845	16963
38	868	16948
39	889	16892
40	909	16832
41	927	16731
42	946	16661
43	967	16623
44	987	16561
45	1007	16510
46	1027	16467
47	1048	16419
48	1067	16367
49	1086	16297
50	1106	16246
51	1127	16212
52	1144	16131
53	1164	16093
54	1185	16057
55	1205	16022
56	1224	15955
57	1244	15919
58	1262	15854
59	1281	15809
60	1300	15754
61	1319	15710
62	1344	15731
63	1367	15727
64	1390	15724
65	1411	15693
66	1430	15650
67	1449	15600
68	1469	15569
69	1488	15527
70	1508	15484
71	1527	15442
72	1545	15396
73	1566	15369
74	1584	15316
75	1604	15287
76	1623	15240
77	1643	15212
78	1663	15186
79	1686	15176
80	1705	15141
81	1725	15111
82	1747	15093
83	1767	15068
84	1787	15037
85	1809	15019
86	1829	14992
87	1850	14975
88	1871	14953
89	1892	14930
90	1912	14898
91	1931	14866
92	1951	14835
93	1971	14803
94	1990	14772
95	2020	14817
96	2039	14782
97	2057	14735
98	2075	14695
99	2093	14657
100	2116	14645
101	2135	14612
102	2157	14598
103	2179	14588
104	2199	14557
105	2219	14530
106	2241	14517
107	2260	14485
108	2279	14449
109	2298	14416
110	2320	14404
111	2341	14386
112	2361	14358
113	2384	14348
114	2404	14320
115	2424	14299
116	2448	14291
117	2471	14285
118	2490	14253
119	2509	14223
120	2529	14195
121	2549	14168
122	2569	14144
123	2588	14108
124	2609	14090
125	2630	14068
126	2649	14038
127	2670	14022
128	2692	14004
129	2710	13968
130	2733	13961
131	2755	13944
132	2777	13931
133	2798	13908
134	2819	13886
135	2838	13858
136	2858	13833
137	2876	13799
138	2894	13765
139	2917	13752
140	2938	13731
141	2957	13706
142	2978	13682
143	2998	13658
144	3016	13627
145	3035	13598
146	3055	13570
147	3074	13542
148	3093	13516
149	3112	13485
150	3131	13458
151	3151	13437
152	3173	13418
153	3191	13388
154	3210	13357
155	3229	13331
156	3248	13303
157	3268	13282
158	3289	13261
159	3308	13232
160	3328	13210
161	3351	13199
162	3374	13188
163	3395	13169
164	3415	13143
165	3435	13120
166	3453	13091
167	3473	13067
168	3493	13044
169	3512	13016
170	3529	12984
171	3549	12960
172	3569	12938
173	3589	12915
174	3608	12886
175	3629	12868
176	3649	12844
177	3666	12812
178	3687	12791
179	3708	12774
180	3728	12751
181	3749	12731
182	3769	12708
183	3789	12685
184	3809	12662
185	3830	12644
186	3850	12621
187	3868	12594
188	3888	12572
189	3909	12552
190	3930	12531
191	3949	12506
192	3969	12484
193	3988	12458
194	4008	12437
195	4027	12411
196	4048	12392
197	4068	12369
198	4088	12347
199	4160	12481
200	4193	12496
201	4220	12493
202	4241	12472
203	4274	12488
204	4301	12486
205	4331	12490
206	4369	12516
207	4399	12520
208	4427	12521
209	4464	12542
210	4491	12537
211	4515	12525
212	4545	12526
213	4568	12508
214	4593	12497
215	4616	12481
216	4638	12460
217	4658	12436
218	4679	12413
219	4700	12392
220	4721	12370
221	4741	12345
222	4767	12335
223	4787	12310
224	4807	12284
225	4827	12262
226	4847	12235
227	4866	12207
228	4885	12181
229	4903	12151
230	4922	12124
231	4940	12095
232	4959	12068
233	4978	12041
234	4996	12013
235	5017	11991
236	5035	11960
237	5054	11934
238	5071	11905
239	5091	11879
240	5107	11847
241	5126	11819
242	5144	11791
243	5161	11761
244	5178	11731
245	5197	11705
246	5218	11683
247	5236	11656
248	5255	11630
249	5273	11602
250	5290	11571
251	5315	11558
252	5337	11539
253	5359	11520
254	5381	11500
255	5398	11471
256	5416	11444
257	5435	11419
258	5454	11393
259	5472	11366
260	5491	11340
261	5511	11317
262	5531	11293
263	5548	11266
264	5569	11243
265	5587	11217
266	5605	11189
267	5624	11165
268	5646	11146
269	5668	11127
270	5687	11101
271	5704	11073
272	5723	11048
273	5742	11024
274	5762	11000
275	5784	10981
276	5802	10954
277	5822	10933
278	5840	10906
279	5861	10886
280	5881	10862
281	5899	10837
282	5920	10815
283	5942	10796
284	5961	10771
285	5982	10752
286	5999	10724
287	6017	10698
288	6035	10671
289	6053	10645
290	6070	10617
291	6089	10594
292	6109	10572
293	6127	10546
294	6148	10525
295	6167	10501
296	6186	10476
297	6203	10450
298	6224	10429
299	6242	10403
300	6259	10377
301	6278	10354
302	6305	10342
303	6329	10326
304	6353	10310
305	6373	10288
306	6393	10267
307	6412	10242
308	6429	10215
309	6448	10192
310	6467	10168
311	6483	10140
312	6501	10116
313	6522	10094
314	6542	10073
315	6562	10051
316	6580	10026
317	6597	9999
318	6615	9975
319	6633	9950
320	6652	9927
321	6675	9909
322	6696	9888
323	6716	9867
324	6737	9846
325	6755	9823
326	6775	9800
327	6794	9777
328	6813	9753
329	6831	9729
330	6852	9709
331	6871	9686
332	6890	9662
333	6908	9639
334	6926	9614
335	6945	9591
336	6968	9573
337	6990	9554
338	7009	9532
339	7030	9512
340	7049	9489
341	7069	9467
342	7086	9441
343	7104	9417
344	7123	9394
345	7142	9371
346	7166	9356
347	7188	9336
348	7210	9317
349	7232	9298
350	7250	9275
351	7271	9254
352	7296	9239
353	7318	9221
354	7340	9200
355	7357	9176
356	7377	9154
357	7396	9131
358	7415	9108
359	7436	9088
360	7457	9069
361	7478	9048
362	7500	9029
363	7519	9006
364	7538	8983
365	7558	8962
366	7580	8943
367	7602	8924
368	7624	8905
369	7644	8883
370	7665	8863
371	7682	8839
372	7702	8817
373	7725	8799
374	7747	8780
375	7770	8762
376	7791	8742
377	7810	8719
378	7829	8697
379	7847	8674
380	7865	8650
381	7882	8625
382	7902	8603
383	7921	8581
384	7940	8559
385	7961	8539
386	7981	8517
387	7999	8493
388	8018	8472
389	8035	8447
390	8054	8425
391	8073	8403
392	8093	8382
393	8111	8358
394	8127	8333
395	8145	8310
396	8163	8287
397	8181	8264
398	8202	8243
399	8220	8220
400	8238	8197
401	8259	8177
402	8280	8157
403	8306	8141
404	8327	8121
405	8347	8101
406	8367	8079
407	8384	8055
408	8405	8036
409	8426	8015
410	8444	7992
411	8460	7967
412	8478	7944
413	8499	7924
414	8530	7913
415	8552	7894
416	8575	7876
417	8597	7857
418	8620	7838
419	8642	7819
420	8741	7869
421	8776	7861
422	8797	7840
423	8816	7817
424	8834	7795
425	8857	7776
426	8882	7758
427	8902	7738
428	8921	7715
429	8940	7692
430	8957	7668
431	8981	7651
432	9003	7631
433	9024	7610
434	9042	7587
435	9060	7564
436	9079	7542
437	9097	7519
438	9115	7496
439	9135	7474
440	9154	7452
441	9176	7432
442	9195	7410
443	9213	7387
444	9231	7364
445	9248	7340
446	9268	7319
447	9290	7299
448	9314	7281
449	9336	7261
450	9356	7240
451	9374	7217
452	9393	7195
453	9410	7171
454	9427	7148
455	9447	7127
456	9466	7105
457	9485	7083
458	9501	7059
459	9518	7035
460	9534	7011
461	9550	6987
462	9567	6963
463	9586	6941
464	9603	6918
465	9621	6896
466	9640	6874
467	9661	6854
468	9685	6835
469	9703	6812
470	9720	6789
471	9744	6771
472	9761	6748
473	9779	6726
474	9799	6704
475	9816	6681
476	9832	6657
477	9850	6635
478	9867	6612
479	9884	6589
480	9902	6567
481	9921	6545
482	9939	6523
483	9956	6500
484	9974	6478
485	9991	6455
